keyword,frequency,cluster,intent,page_type,url,existing,action,priority,city
фасад,388326,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"ВНИМАНИЕ: смешанный интент (стройка / кухонная мебель) — частотность нерепрезентативна, не использовать как есть для приоритизации",P1,
кровля,313717,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
технониколь,214032,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P0,
сайдинг,183279,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
фасад дома,46224,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
мягкая кровля,44557,Мягкая кровля (битумная черепица),commercial,category,/catalog/myagkaya-krovlya,full,Страница существует — усилить метатеги/контент под этот запрос,P0,
гранд лайн,35004,Grand Line / Гранд Лайн — бренд-хаб,commercial,brand,/catalog/brand/grand-line,full,Страница существует — усилить метатеги/контент под этот запрос,P0,
отделка сайдингом,26887,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
сайдинг для наружной,24394,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
grand line,23387,Grand Line / Гранд Лайн — бренд-хаб,commercial,brand,/catalog/brand/grand-line,full,Страница существует — усилить метатеги/контент под этот запрос,P0,
сайдинг для наружной отделки,22479,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
сайдинг под,20268,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
сайдинг для дома,18551,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
купить фасады,17987,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
купить сайдинг,17384,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
кровля крыши,16851,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
утеплитель технониколь,15392,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P0,
кровля купить,15352,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P1,
фальцева кровля,15274,Фальцевая кровля / кликфальц,commercial,category,/catalog/falcevaya-krovlya,full,Страница существует — усилить метатеги/контент под этот запрос,P0,
фальцевый кровля,15274,Фальцевая кровля / кликфальц,commercial,category,/catalog/falcevaya-krovlya,full,Страница существует — усилить метатеги/контент под этот запрос,P0,
фальцевая кровля,15274,Фальцевая кровля / кликфальц,commercial,category,/catalog/falcevaya-krovlya,full,Страница существует — усилить метатеги/контент под этот запрос,P0,
отделка дома сайдингом,14729,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
сайдинг цена,14574,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
технониколь кровля,14375,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P0,
под фасадом,13399,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
наружный сайдинг для дома,13274,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
плоская кровля,13225,Плоская/рулонная/наплавляемая кровля,commercial,category-gap,,none,Создать категорию в каталоге (нет ни одного товара под кластер),P1,
сайдинг для наружной отделки дома,12911,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P1,
технониколь фасадный,12669,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P0,
